step,x,y,heading,v,w,goal_x,goal_y
0,0.6770697859360086,-7.200132623069361,-0.31165190184017255,0.0,0.0,-1.7804097781741035,1.808442218841484
1,0.6770697859360086,-7.200132623069361,-0.27382045528209886,0.0,1.5132578623229416,-1.7804097781741035,1.808442218841484
2,0.6770697859360086,-7.200132623069361,-0.23695588787961874,0.0,1.4745826960992012,-1.7804097781741035,1.808442218841484
3,0.6857844247556167,-7.2022371445692634,-0.19793947930793765,0.35860605795166567,1.5606563428672513,-1.7804097781741035,1.808442218841484
4,0.6993903391317953,-7.204966024825046,-0.16353352214065842,0.5550750485652225,1.3762382866911727,-1.7804097781741035,1.808442218841484
5,0.7011505003563643,-7.20525646390888,-0.125258254595896,0.07135850220282869,1.531010701790503,-1.7804097781741035,1.808442218841484
6,0.7080976675367917,-7.206131233674808,-0.0867453329703256,0.28008099964457633,1.540516865022807,-1.7804097781741035,1.808442218841484
7,0.7136940347395935,-7.206617913739776,-0.04791605779779484,0.22469956245345069,1.5531710069012292,-1.7804097781741035,1.808442218841484
8,0.7195348520212294,-7.20689799706335,-0.009571556231460221,0.23390115240622578,1.5337800626533873,-1.7804097781741035,1.808442218841484
9,0.7230583865775821,-7.206931723802451,0.029226892623289924,0.1409478386509999,1.5519379541900027,-1.7804097781741035,1.808442218841484
10,0.9462381503053835,-7.200407014879887,0.06525607912802212,8.931004759969298,1.4411674601892899,-1.7804097781741035,1.808442218841484
11,1.2115699193555918,-7.183067884911685,0.10136913702439365,10.635908468607074,1.4445223158548686,-1.7804097781741035,1.808442218841484
12,1.532760545352367,-7.150397086469728,0.13967259977246327,12.913918029724996,1.532138509922782,-1.7804097781741035,1.808442218841484
13,1.8520114455493806,-7.105514238253711,0.17881055269778034,12.895618315727894,1.565518117012675,-1.7804097781741035,1.808442218841484
14,2.168839556960703,-7.0482504209213355,0.21808046086765298,12.878459346113791,1.5707963267948966,-1.7804097781741035,1.808442218841484
15,2.4406520445600632,-6.988015480683035,0.2559110946945786,11.136266982465099,1.5132253530770265,-1.7804097781741035,1.808442218841484
16,2.680663625708626,-6.925216928613219,0.292793825406803,9.92364588062257,1.475309228488972,-1.7804097781741035,1.808442218841484
17,2.8970731720469916,-6.85997855054816,0.32881610369677805,9.04116255524139,1.4408911315990112,-1.7804097781741035,1.808442218841484
18,3.1024916326937344,-6.789889236002985,0.3647846062758022,8.68186671059997,1.4387401031609577,-1.7804097781741035,1.808442218841484
19,3.3018486254116466,-6.713759737789435,0.4012434976944075,8.535939179143808,1.4583556567442137,-1.7804097781741035,1.808442218841484
20,3.4958178782237495,-6.631466387488599,0.43798469004581797,8.428168630512488,1.4696476940564127,-1.7804097781741035,1.808442218841484
21,3.682404332857047,-6.544084053775792,0.4752834200693763,8.241376321728783,1.4919492009423263,-1.7804097781741035,1.808442218841484
22,3.8576727080073896,-6.4538855946581775,0.5133629712815022,7.884644859982786,1.5231820484850436,-1.7804097781741035,1.808442218841484
23,4.021331788067791,-6.361617512153309,0.5521787584007405,7.515072165757771,1.5526314847695262,-1.7804097781741035,1.808442218841484
24,4.173703657021268,-6.267740140569664,0.5914486665706127,7.158787310021653,1.5707963267948966,-1.7804097781741035,1.808442218841484
25,4.3163072370244,-6.171959619686367,0.6307185747404853,6.87135377757662,1.5707963267948966,-1.7804097781741035,1.808442218841484
26,4.449551531161791,-6.0746625200042095,0.669988482910358,6.599486952996399,1.5707963267948966,-1.7804097781741035,1.808442218841484
27,4.575672565263307,-5.974744968457431,0.7092583910802306,6.436151937291607,1.5707963267948966,-1.7804097781741035,1.808442218841484
28,4.695504256216796,-5.871900619858034,0.7485282992501032,6.31652995821049,1.5707963267948966,-1.7804097781741035,1.808442218841484
29,4.810130853884802,-5.765429558679713,0.7877982074199759,6.257839085355995,1.5707963267948966,-1.7804097781741035,1.808442218841484
30,4.918995592931694,-5.656041001107105,0.8270681155898485,6.173153221563675,1.5707963267948966,-1.7804097781741035,1.808442218841484
31,5.02235268024005,-5.543690168971004,0.8663380237597211,6.106442103685759,1.5707963267948966,-1.7804097781741035,1.808442218841484
32,5.120129065393367,-5.428650791074944,0.9056079319295938,6.039109862933401,1.5707963267948966,-1.7804097781741035,1.808442218841484
